TECHNOLOGY,STATE
UVERSE,SC
UVERSE,IL
UVERSE,OH
UVERSE,IL
DSL,OH
UVERSE,CA
UVERSE,IL
UVERSE,CA
UVERSE,MI
DSL,TX
UVERSE,SC
UVERSE,IL
UVERSE,GA
DSL,CA
UVERSE,IN
UVERSE,MI
DSL,CA
UVERSE,AL
UVERSE,TX
UVERSE,NC
UVERSE,CA
DSL,FL
REMOVE,CA
UVERSE,AR
UVERSE,NC
UVERSE,CA
UVERSE,CA
UVERSE,IL
DSL,TN
UVERSE,IL
UVERSE,TX
DSL,CA
UVERSE,TX
DSL,IL
UVERSE,TX
DSL,WI
DSL,SC
UVERSE,MO
UVERSE,TN
UVERSE,CA
UVERSE,TX
UVERSE,FL
UVERSE,WI
UVERSE,PA
UVERSE,CA
UVERSE,CA
UVERSE,TN
UVERSE,AR
UVERSE,IL
REMOVE,SC
REMOVE,DC
UVERSE,TX
UVERSE,MO
UVERSE,FL
UVERSE,CA
UVERSE,TX
UVERSE,WI
UVERSE,CA
UVERSE,OH
UVERSE,KY
UVERSE,WI
UVERSE,MI
UVERSE,MO
UVERSE,CA
UVERSE,OH
UVERSE,TX
REMOVE,CA
UVERSE,TX
DSL,TX
DSL,CA
UVERSE,TX
UVERSE,OH
UVERSE,TN
UVERSE,IL
UVERSE,GA
UVERSE,TX
UVERSE,MI
REMOVE,FL
UVERSE,IL
UVERSE,TX
REMOVE,WI
UVERSE,TX
UVERSE,GA
UVERSE,TX
UVERSE,TX
UVERSE,OH
UVERSE,IL
UVERSE,MO
DSL,AR
UVERSE,CT
UVERSE,CT
UVERSE,WI
UVERSE,OH
UVERSE,CA
UVERSE,IL
UVERSE,CA
UVERSE,IL
REMOVE,OH
UVERSE,WI
UVERSE,MI
UVERSE,MI
REMOVE,FL
UVERSE,CA
DSL,IN
UVERSE,IL
UVERSE,GA
UVERSE,TX
DSL,KS
UVERSE,MI
DSL,IL
UVERSE,WI
UVERSE,CA
UVERSE,IN
UVERSE,TX
UVERSE,TX
REMOVE,CT
UVERSE,CT
REMOVE,TX
UVERSE,GA
UVERSE,OK
UVERSE,CA
UVERSE,IN
UVERSE,SC
UVERSE,IL
UVERSE,TX
UVERSE,TX
UVERSE,MI
UVERSE,MI
UVERSE,IN
UVERSE,IN
REMOVE,TX
DSL,CA
DSL,MI
UVERSE,LA
UVERSE,OH
UVERSE,WI
UVERSE,GA
UVERSE,WI
UVERSE,GA
UVERSE,OH
UVERSE,TX
UVERSE,FL
UVERSE,CA
UVERSE,IN
UVERSE,CA
UVERSE,MO
UVERSE,MI
UVERSE,TX
UVERSE,MI
UVERSE,TN
DSL,AR
REMOVE,GA
UVERSE,TX
UVERSE,FL
UVERSE,AR
UVERSE,TX
UVERSE,MO
UVERSE,TX
UVERSE,WI
UVERSE,CA
UVERSE,MO
UVERSE,TX
UVERSE,FL
UVERSE,MS
UVERSE,GA
UVERSE,OH
REMOVE,IL
UVERSE,OH
UVERSE,NV
UVERSE,CA
UVERSE,OK
UVERSE,IN
UVERSE,CA
UVERSE,IN
UVERSE,KY
UVERSE,CA
UVERSE,CA
DSL,MS
UVERSE,SC
UVERSE,OH
DSL,OH
DSL,GA
UVERSE,IL
DSL,OK
UVERSE,IL
UVERSE,NC
UVERSE,TX
UVERSE,TX
UVERSE,CA
UVERSE,CA
REMOVE,KY
UVERSE,MI
UVERSE,GA
REMOVE,FL
UVERSE,IL
UVERSE,CA
UVERSE,CA
DSL,TX
UVERSE,TX
UVERSE,FL
REMOVE,TX
UVERSE,TX
UVERSE,CA
UVERSE,CA
UVERSE,KY
UVERSE,MO
UVERSE,KS
UVERSE,NC
UVERSE,GA
UVERSE,GA
REMOVE,GA
UVERSE,FL
UVERSE,SC
UVERSE,TN
REMOVE,CT
UVERSE,CT
UVERSE,FL
UVERSE,NC
UVERSE,CA
UVERSE,CA
DSL,NV
UVERSE,OH
UVERSE,OH
UVERSE,WI
UVERSE,IL
UVERSE,TX
UVERSE,MI
DSL,MO
UVERSE,TX
REMOVE,TX
UVERSE,OH
UVERSE,IL
UVERSE,IL
UVERSE,OH
REMOVE,IN
UVERSE,MO
UVERSE,KY
UVERSE,MD
UVERSE,FL
UVERSE,WI
UVERSE,TX
DSL,TX
UVERSE,CA
REMOVE,FL
UVERSE,AR
UVERSE,UNKNOWN
UVERSE,TX
UVERSE,KY
UVERSE,CA
REMOVE,GA
UVERSE,NC
UVERSE,MO
UVERSE,TX
UVERSE,MI
UVERSE,FL
UVERSE,MI
UVERSE,TX
UVERSE,IL
UVERSE,CA
UVERSE,IL
UVERSE,CA
UVERSE,MI
UVERSE,GA
REMOVE,KY
UVERSE,CA
UVERSE,SC
REMOVE,FL
UVERSE,OH
UVERSE,TX
UVERSE,TX
UVERSE,TX
UVERSE,KY
UVERSE,OH
UVERSE,CA
UVERSE,CA
UVERSE,TN
REMOVE,NC
UVERSE,KS
UVERSE,OH
UVERSE,CA
UVERSE,MI
UVERSE,CA
UVERSE,IN
DSL,MI
UVERSE,AR
UVERSE,MO
UVERSE,IL
UVERSE,MI
UVERSE,FL
UVERSE,IN
DSL,IN
UVERSE,MI
UVERSE,TN
UVERSE,TX
UVERSE,TX
UVERSE,KS
UVERSE,OH
UVERSE,KS
DSL,TX
UVERSE,NY
UVERSE,NC
UVERSE,GA
DSL,GA
UVERSE,FL
UVERSE,FL
UVERSE,OH
UVERSE,IL
UVERSE,MO
UVERSE,MO
UVERSE,OK
UVERSE,CA
UVERSE,NC
UVERSE,AL
UVERSE,TX
UVERSE,CA
UVERSE,GA
UVERSE,FL
UVERSE,TX
UVERSE,CA
REMOVE,TX
UVERSE,TN
UVERSE,MI
UVERSE,NV
UVERSE,KS
UVERSE,OH
UVERSE,SC
UVERSE,GA
UVERSE,AL
UVERSE,CA
UVERSE,MI
UVERSE,MI
UVERSE,TX
UVERSE,TN
UVERSE,MI
UVERSE,NC
UVERSE,MO
UVERSE,MO
UVERSE,TX
REMOVE,AL
UVERSE,IN
UVERSE,CA
UVERSE,MI
UVERSE,CA
UVERSE,KS
UVERSE,AL
UVERSE,MO
UVERSE,TX
UVERSE,OK
DSL,LA
UVERSE,CA
UVERSE,UNKNOWN
UVERSE,MS
UVERSE,TX
UVERSE,Tx
UVERSE,TX
UVERSE,TX
UVERSE,IL
UVERSE,OH
UVERSE,MI
DSL,AL
UVERSE,GA
UVERSE,CA
REMOVE,NV
UVERSE,OH
DSL,TX
REMOVE,UNKNOWN
UVERSE,IL
UVERSE,UNKNOWN
UVERSE,TX
UVERSE,TX
UVERSE,CA
UVERSE,GA
UVERSE,KY
